emp_no,salary,from_date,to_date,"average salary"
11486,107118,1985-05-31,1986-05-31,124462.1111
12149,109934,1988-10-01,1989-10-01,123656.9286
13555,106564,1988-11-07,1989-11-07,120264.2143
14487,109859,1987-02-09,1988-02-09,125684.8750
14508,103452,1985-02-18,1986-02-18,120655.1111
14523,121038,1994-07-21,1995-07-21,126436.4444
15039,106956,1987-04-19,1988-04-18,123642.6875
17238,101701,1985-07-07,1986-07-07,120084.0000
18006,108512,1987-09-03,1988-09-02,128619.2000
18164,113527,1997-01-17,1998-01-17,120707.6667
18174,105782,1988-07-07,1989-07-07,120455.8667
18997,112519,1990-02-22,1991-02-22,128594.0000
20004,123749,1995-11-24,1996-11-23,128211.5000
21413,102879,1985-06-24,1986-06-24,121109.0000
21587,109787,1990-03-02,1991-03-02,127105.6923
23767,107534,1987-04-22,1988-04-21,122876.5000
24099,111525,1989-05-11,1990-05-11,126685.7143
25472,120775,1992-04-16,1993-04-16,128326.6364
25659,116145,1992-06-14,1993-06-14,122847.9091
28124,107583,1988-12-25,1989-12-25,123122.0000
28301,120446,1996-12-07,1997-12-07,123155.2000
28337,105552,1988-03-28,1989-03-28,121776.8000
29224,118027,1995-04-11,1996-04-10,120089.6667
30830,115647,1993-01-30,1994-01-30,126182.2000
31665,99221,1986-03-17,1987-03-17,120914.8824
31700,112359,1986-12-12,1987-12-12,124076.1875
33617,108525,1987-12-30,1988-12-29,122327.1333
33701,120986,1995-02-24,1996-02-24,122744.2500
35367,108451,1989-02-28,1990-02-28,121588.7857
36219,107935,1987-07-29,1988-07-28,128735.2500
37558,125469,1989-02-23,1990-02-23,138215.8571
38351,114812,1993-07-23,1994-07-23,122403.8000
39964,120487,1991-04-06,1992-04-05,131024.3333
41307,108252,1986-02-11,1987-02-11,125286.8235
41822,110727,1990-05-08,1991-05-08,128835.6923
42497,108864,1985-12-08,1986-12-08,122449.1176
43624,116058,1985-03-26,1986-03-26,138492.9444
44188,127238,1991-03-16,1992-03-15,132560.6667
44465,104822,1987-03-17,1988-03-16,125464.0625
46439,119124,1988-05-18,1989-05-18,135747.7333
46660,107410,1994-07-13,1995-07-13,121003.2222
47286,108923,1985-09-06,1986-09-06,124683.8235
47978,112551,1985-07-18,1986-07-18,131890.2222
48571,121468,1998-02-28,1999-02-28,125880.6000
49058,109897,1992-02-13,1993-02-12,125460.1818
49465,116448,1989-02-15,1990-02-15,125726.0714
51022,111365,1993-03-05,1994-03-05,120150.9000
51531,116412,1988-11-05,1989-11-05,132186.4286
53197,116186,1991-03-23,1992-03-22,127061.3333
53402,118631,1986-11-05,1987-11-05,129764.3750
53578,113651,1989-03-26,1990-03-26,124680.9286
55267,116602,1995-12-18,1996-12-17,121695.8571
55773,114844,1991-09-19,1992-09-18,125683.0909
56012,114550,1987-07-20,1988-07-19,129462.8750
56777,109943,1991-06-22,1992-06-21,121313.3333
57003,109260,1985-12-19,1986-12-19,125330.9412
58351,103114,1987-09-04,1988-09-03,121884.2857
58746,105157,1987-03-18,1988-03-17,123044.9375
60217,118375,1994-03-21,1995-03-20,126733.0000
60723,109192,1989-05-17,1990-05-17,124393.8571
62646,110778,1988-08-19,1989-08-19,123398.6429
64633,114977,1994-01-17,1995-01-17,120112.8889
66793,108972,1985-06-20,1986-06-20,132440.1667
67999,101561,1985-07-28,1986-07-28,121336.7778
68086,108929,1985-07-30,1986-07-30,128075.0556
70757,112995,1992-10-06,1993-10-06,124642.3000
73474,109486,1993-05-08,1994-05-08,121259.1000
74635,107301,1988-06-14,1989-06-14,123368.6000
75138,116104,1998-01-30,1999-01-30,120250.0000
75906,118095,1998-07-02,1999-07-02,123330.6000
76125,98724,1986-05-19,1987-05-19,122477.1765
77129,111764,1994-03-12,1995-03-12,121857.3333
77152,117474,1995-07-09,1996-07-08,126809.7500
78008,106084,1985-07-08,1986-07-08,121290.2778
78767,103647,1986-08-11,1987-08-11,121915.6250
80823,108686,1985-02-26,1986-02-26,131565.0000
80937,105373,1985-08-09,1986-08-09,123760.3529
82109,115850,1998-03-19,1999-03-19,121128.0000
84052,98011,1985-04-29,1986-04-29,120965.2222
84147,105944,1985-03-30,1986-03-30,121437.0556
84659,119159,1989-09-12,1990-09-12,123353.1538
87234,111013,1988-09-04,1989-09-04,121810.3571
87965,110591,1994-04-06,1995-04-06,123181.3750
89825,109757,1986-05-23,1987-05-23,129105.1765
91855,118270,1998-12-17,1999-12-17,120577.2500
91935,109052,1988-04-13,1989-04-13,129329.5333
93414,105528,1990-06-03,1991-06-03,120936.6154
96407,117180,1995-06-24,1996-06-23,124830.2500
96596,107775,1987-07-28,1988-07-27,121171.3125
96957,110649,1985-07-30,1986-07-30,126161.0556
98169,120032,1987-01-20,1988-01-20,134374.8125
101172,101642,1988-03-19,1989-03-19,122175.4667
101631,117024,1995-09-30,1996-09-29,120992.5714
102078,103241,1988-05-30,1989-05-30,120527.7333
102662,111007,1995-08-02,1996-08-01,120611.0000
102962,113013,1985-09-24,1986-09-24,134075.8235
106201,119925,1997-04-22,1998-04-22,125139.0000
107140,108994,1987-12-08,1988-12-07,124333.6667
107430,115227,1996-05-12,1997-05-12,120795.6667
109334,123668,1985-02-15,1986-02-15,141835.3333
200625,108036,1992-01-15,1993-01-14,123850.3636
